,account_value,datadate
278,896294.0339082975,20200320
279,881890.0439255802,20200323
280,880419.1557910488,20200324
281,891967.647692863,20200325
282,894529.9322141142,20200326
283,894654.1387790394,20200327
284,882485.426394084,20200330
285,883468.358856434,20200331
286,892503.1925723543,20200401
287,904092.5228932936,20200403
288,919807.5273145428,20200406
289,923660.29446773,20200407
290,921821.985853284,20200408
291,926490.8254828092,20200409
292,924484.9776859438,20200410
293,924578.475000592,20200413
294,926849.2994842671,20200414
295,931975.4581808626,20200415
296,931751.4145356931,20200416
297,933687.6063298247,20200417
298,933103.9364621547,20200420
299,922801.5071020377,20200421
300,925709.2858051803,20200422
301,926797.0747452854,20200423
302,927360.9353303579,20200424
303,922954.9782277856,20200427
304,922861.7057712188,20200428
305,923664.7131915871,20200429
306,920002.5201018637,20200504
307,920134.2052785517,20200505
308,926118.2932599687,20200506
309,930787.9245476323,20200507
310,937076.9621861037,20200508
311,941234.5701804381,20200511
312,946141.2358681317,20200512
313,948050.2873023424,20200513
314,948078.9359195883,20200514
315,943791.604635449,20200515
316,947554.0172716676,20200518
317,950700.7337844555,20200519
318,952199.7673074491,20200520
319,955043.7351571068,20200521
320,950547.1523669355,20200522
321,952414.4262607743,20200525
322,957035.9997761305,20200526
323,953067.2894236052,20200527
324,954235.3146978955,20200528
325,954719.9144629758,20200529
326,959426.8593018854,20200601
327,957701.4967099365,20200602
328,960428.9426632915,20200603
329,960606.288347796,20200604
330,959895.834880002,20200605
331,965136.4105865496,20200608
332,964759.8275224436,20200609
333,965225.7657402497,20200610
334,949093.3063702865,20200611
335,947308.688436474,20200612
336,936902.889096046,20200615
337,946099.933207605,20200616
338,943379.2783877086,20200617
339,943076.1475689764,20200618
340,951278.0657463527,20200619
341,951158.1185512679,20200622
342,950231.6420997413,20200623
343,947993.5710830004,20200624
344,945514.8792660825,20200625
345,942862.9951443237,20200626
346,934011.1024490027,20200629
347,931777.7338861176,20200630
348,938579.984067103,20200701
349,939606.9488429768,20200702
350,939887.15221435,20200703
351,943818.70262086,20200706
352,944284.6123540612,20200707
353,944032.4620035463,20200708
354,947506.8238390915,20200709
355,945618.3801488155,20200710
356,945051.4737843073,20200713
357,945331.6773457709,20200714
358,946089.5715640282,20200715
359,949829.158632833,20200716
360,947929.5430689802,20200717
361,942609.8264718956,20200720
362,942607.8954798722,20200721
363,939852.4996827594,20200722
364,940100.5965717519,20200723
365,928694.4009355656,20200724
366,911679.5208281133,20200727
367,920048.3969854673,20200728
368,911338.9538896801,20200729
369,914505.430395805,20200730
370,914309.7642613053,20200731
371,923467.9636353276,20200803
372,930315.5293697307,20200804
373,934315.4854183412,20200805
374,933450.376745676,20200806
375,933103.3354466044,20200807
376,934124.2721191805,20200810
377,934365.0060343898,20200811
378,934066.0216663324,20200812
379,938689.7702183,20200813
380,935731.4067463482,20200814
381,935303.1670606096,20200817
382,932357.8457443663,20200818
383,934322.3565787011,20200819
384,933859.1699744323,20200820
385,937530.0713946285,20200821
386,944928.6510572876,20200824
387,948532.1647480623,20200825
388,947323.1566331964,20200826
389,948467.2153711639,20200827
390,950601.5444750945,20200828
391,951477.3637657843,20200831
392,956181.1849879771,20200901
393,961174.5612763343,20200903
394,959322.0073482486,20200904
395,949692.3624204695,20200907
396,951264.5103075665,20200908
397,950103.6538751418,20200909
398,949033.7582370572,20200910
399,948954.9236170168,20200911
400,953189.1546376256,20200914
401,954315.472562705,20200915
402,955377.4915490305,20200916
403,952857.1331248642,20200917
404,955833.7542589725,20200918
405,959038.9181404075,20200921
406,959954.4610697489,20200922
407,964070.5053421227,20200923
408,960501.0744425548,20200924
409,960899.6760525918,20200925
410,963133.3972812872,20200928
411,956599.8434203768,20200929
412,958046.280377304,20200930
413,961580.6937975961,20201001
414,960286.9388491941,20201002
415,962635.1633564741,20201005
416,964747.9113011007,20201006
417,968214.1216326442,20201007
418,971154.6366530139,20201008
419,976120.1313006813,20201009
420,980544.4678401257,20201012
421,986221.7252355091,20201013
422,993542.8491394285,20201014
423,999057.9303968234,20201015
424,1002725.9450525733,20201016
425,1006072.5846626946,20201019
426,1006774.5336990849,20201020
427,1002501.5486068135,20201021
428,1011069.9014355424,20201022
429,1016732.889469021,20201023
430,1015032.3205490258,20201026
431,1013674.5587401413,20201027
432,997792.9664724387,20201028
433,997846.419349654,20201029
434,1005440.4700919831,20201030
435,1010995.9409114014,20201102
436,1010044.7918267768,20201103
437,1011462.6814014919,20201104
438,1014166.1690858323,20201105
439,1016759.164944086,20201106
440,1026303.6950341214,20201109
441,1024051.9567315001,20201110
442,1022633.4959393214,20201111
443,1026237.823058148,20201112
444,1027731.1578656969,20201113
445,1014432.7832453366,20201116
446,1024478.2721163789,20201117
447,1023457.7197966375,20201118
448,1027225.9112369075,20201119
449,1029509.8963681784,20201120
450,1034760.2452615289,20201123
451,1032270.3728103314,20201124
452,1032908.2682814642,20201125
453,1035487.8431310555,20201126
454,1039693.6483291404,20201127
455,1033780.9078366873,20201130
456,1036039.471539348,20201201
457,1037099.0297258918,20201202
458,1040402.3822460241,20201203
459,1041577.9078065205,20201204
460,1044507.6301197696,20201207
461,1046379.1243809523,20201208
462,1052546.2680117732,20201209
463,1042667.0088295959,20201210
464,1051983.3235581536,20201211
465,1058815.268075701,20201214
466,1053642.2282064536,20201215
467,1057560.6172823643,20201216
468,1048149.9569862892,20201217
469,1054540.9472791709,20201218
470,1058432.4698792929,20201221
471,1059115.4818542525,20201222
472,1058412.727723435,20201223
473,1054715.7053465685,20201224
474,1062461.1727378648,20201225
475,1065628.2367553858,20201228
476,1071446.91032295,20201229
477,1071996.0453882774,20201230
478,1080588.059847397,20201231
479,1085633.2517617457,20210104
480,1089199.4394286654,20210105
481,1096156.681729728,20210106
482,1103289.1361768357,20210107
483,1107777.968384434,20210108
484,1113444.514677957,20210111
485,1116940.966319469,20210112
486,1114291.3870470985,20210113
487,1113340.410021945,20210114
488,1117452.8753670938,20210115
489,1116928.5383209859,20210118
490,1082934.11473755,20210119
491,1085598.0404866592,20210120
492,1100107.8311374686,20210121
493,1103423.3278514913,20210122
494,1108069.037470556,20210125
495,1090984.9856829916,20210126
496,1072250.852251629,20210127
497,1034137.0416361304,20210128
498,1055513.6609926806,20210129
499,1041275.5082459451,20210201
500,1063655.4102501338,20210202
501,1084047.331437679,20210203
502,1084109.5372612602,20210204
503,1093569.0597973017,20210205
504,1067728.9196042665,20210208
505,1089128.4748240525,20210209
506,1108489.046105029,20210217
507,1115910.0174996746,20210218
508,1113073.907467328,20210219
509,1110802.3148439198,20210222
510,1106166.8072362922,20210223
511,1099303.2708223183,20210224
512,1101081.067773085,20210225
513,1102598.1239356145,20210226
514,1111175.8314281749,20210301
515,1110286.1926735837,20210302
516,1108525.0566079372,20210303
517,1098745.1848534327,20210304
518,1097086.1017925413,20210305
519,1093504.3442175374,20210308
520,1089079.9269405412,20210309
521,1094468.7311544055,20210310
522,1099146.3624904673,20210311
523,1097244.7001641062,20210312
524,1099713.2095007119,20210315
525,1099797.72322758,20210316
526,1101728.46071565,20210317
527,1111266.7109559842,20210318
528,1108696.3135078058,20210319
529,1108613.1009961443,20210322
530,1103049.1008945324,20210323
531,1094196.1717064725,20210324
532,1097821.848776401,20210325
533,1097928.7997326725,20210326
534,1103033.3220980922,20210329
535,1110640.6263620832,20210330
536,1116017.931643279,20210331
537,1129946.1868315043,20210401
538,1137991.5933661605,20210402
539,1142869.0458778418,20210405
540,1145783.7098746616,20210406
541,1148910.7322387258,20210407
542,1143466.754761638,20210408
543,1145180.1589562527,20210409
544,1157880.168651113,20210412
545,1158707.0835761102,20210413
546,1168615.9180947887,20210414
547,1164390.4927955847,20210415
548,1161117.966874679,20210416
549,1181759.048943916,20210419
550,1184026.6524555727,20210420
551,1159991.5987438373,20210422
552,1175215.9608420397,20210423
553,1152483.2582635754,20210426
554,1158161.8882295499,20210427
555,1160330.1951102861,20210428
556,1165036.1172944633,20210429
557,1166201.9063057853,20210504
558,1172095.1084017337,20210505
559,1165999.7150426013,20210506
560,1162172.0884027386,20210507
561,1176351.717745636,20210510
562,1173558.907598266,20210511
563,1181288.6150763198,20210512
564,1173399.5856833584,20210513
565,1179129.356155407,20210514
566,1171965.273742943,20210517
567,1170482.2884816227,20210518
568,1179166.631251353,20210519
569,1205354.0700198251,20210520
570,1202805.5008021619,20210521
571,1207102.311693444,20210524
572,1214145.5617085868,20210525
573,1216696.4018114533,20210526
574,1208991.977395108,20210527
575,1216629.1845347863,20210528
576,1223006.618300605,20210531
577,1228145.1727611339,20210601
578,1226016.8395932838,20210602
579,1234110.268402594,20210603
580,1237175.8003225413,20210604
581,1225409.4982806565,20210607
582,1200449.6493929175,20210608
583,1208033.633735462,20210609
584,1203121.518178611,20210610
585,1223077.1595076276,20210611
586,1230533.1236315002,20210614
587,1231494.7155322724,20210615
588,1219714.0015309155,20210616
589,1219575.8633604131,20210617
590,1231429.8666812393,20210618
591,1229964.1785058223,20210621
592,1234484.0717143265,20210622
593,1232342.5305857004,20210623
594,1230418.3887552319,20210624
595,1236166.445328512,20210625
596,1244422.7102808778,20210628
597,1249298.4615913727,20210629
598,1252981.4166086924,20210630
599,1260657.182255438,20210701
600,1261994.5859654108,20210702
601,1255998.7005388557,20210705
602,1227458.5979951187,20210706
603,1253743.9068285506,20210707
604,1249085.6855844855,20210708
605,1234564.7839056975,20210709
606,1210099.3785567672,20210712
607,1201555.2409766251,20210713
608,1190971.4120645847,20210714
609,1195943.4893754963,20210715
610,1207947.841962415,20210716
611,1179869.693396422,20210719
612,1198733.0967047818,20210720
613,1193661.1890730858,20210721
614,1208544.6457180746,20210722
615,1193872.848680676,20210723
616,1198506.791455061,20210726
617,1203785.7019321644,20210727
618,1203980.7800302375,20210728
619,1217878.5960097234,20210729
620,1235566.2235928369,20210730
621,1237829.7532037676,20210802
622,1251766.6648825607,20210803
623,1250977.2492819328,20210804
624,1253708.8717025742,20210805
625,1250070.4417164102,20210806
626,1264008.9823085784,20210809
627,1259990.8765345286,20210810
628,1251800.2189920498,20210811
629,1244914.9237785055,20210812
630,1246579.044315042,20210813
631,1252223.1266484822,20210816
632,1250497.5577521152,20210817
633,1251252.92279232,20210818
634,1262506.4765948039,20210819
635,1235292.549171045,20210820
636,1212269.9036091468,20210823
637,1213508.6637232443,20210824
638,1221730.4797956836,20210825
639,1211257.0329046268,20210826
640,1217786.2712573104,20210827
641,1222292.1599007158,20210830
642,1225859.3406078187,20210831
643,1222188.6641497489,20210901
644,1227707.9748406685,20210906
645,1223200.5948049566,20210907
646,1224863.616099694,20210908
647,1234192.291873937,20210909
648,1237852.2587889452,20210910
649,1232247.7868774445,20210913
650,1230858.9970702732,20210914
651,1243994.640117829,20210915
652,1250307.017777055,20210916
653,1244829.8114210211,20210917
654,1241225.2970720113,20210920
655,1236744.7819954192,20210921
656,1248652.2020039943,20210922
657,1245372.204515353,20210923
658,1243488.3013140075,20210924
659,1224680.2846159649,20210927
660,1235568.6144571528,20210928
661,1238233.0341531567,20210929
662,1246941.540259048,20210930
663,1238682.379286922,20211001
664,1241034.9294126402,20211004
665,1246609.8589567842,20211005
666,1250133.9658837365,20211006
667,1251214.8554135845,20211007
668,1264855.7123483517,20211008
669,1280441.7343004118,20211011
670,1275746.1252875903,20211012
671,1271412.7876201153,20211013
672,1268727.43380184,20211014
673,1267594.3342543286,20211015
674,1267783.1355642073,20211018
675,1265523.3789013638,20211019
676,1264024.4947266378,20211020
677,1255041.6805788337,20211021
678,1256434.944315652,20211022
679,1258467.0707003064,20211025
680,1259486.0512042884,20211026
681,1286491.0523954523,20211027
682,1296577.9309015635,20211028
683,1298631.2042375968,20211029
684,1285044.7215805405,20211101
685,1294593.1283994685,20211102
686,1291750.4657406495,20211103
687,1294109.1074015524,20211104
688,1301418.57401049,20211105
689,1308999.9329356754,20211108
690,1302004.0434183087,20211109
691,1298131.2356646147,20211110
692,1294405.345555035,20211111
693,1307552.8242329808,20211112
694,1312461.49780586,20211115
695,1305733.281550924,20211116
696,1304520.8321472034,20211117
697,1297399.384958218,20211118
698,1285232.833522208,20211119
699,1291788.1521508053,20211122
700,1311968.7836212926,20211123
701,1326148.7012038648,20211124
702,1331483.1262484621,20211125
703,1325143.929799486,20211126
704,1317168.4356697667,20211129
705,1307754.734655623,20211130
706,1311013.1585975331,20211201
707,1310116.1668966922,20211202
708,1288260.8737958875,20211203
709,1274605.3578063587,20211206
710,1292878.1476904007,20211207
711,1294564.6892624423,20211208
712,1310040.3286096682,20211209
713,1302454.156357228,20211210
714,1309158.8871398368,20211213
715,1303102.9002517834,20211214
716,1303974.0125454515,20211215
717,1298000.9501554181,20211216
718,1301474.147410148,20211217
719,1302960.3122325626,20211220
720,1303852.6198848945,20211221
721,1305975.6034980977,20211222
722,1295358.9020182989,20211223
723,1304035.30153495,20211224
724,1311064.6270536992,20211227
725,1315113.684559763,20211228
726,1308868.2606088805,20211229
727,1309153.7583862718,20211230
728,1314443.9347562077,20211231
729,1328903.5103960813,20220104
730,1315995.0590916234,20220105
